match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
8,South Africa,England,12.1,1,0,Centurion,SuperSport Park
8,South Africa,England,12.2,1,0,Centurion,SuperSport Park
8,South Africa,England,12.3,2,0,Centurion,SuperSport Park
8,South Africa,England,12.4,6,0,Centurion,SuperSport Park
8,South Africa,England,12.5,2,0,Centurion,SuperSport Park
8,South Africa,England,12.6,1,0,Centurion,SuperSport Park
8,South Africa,England,13.1,1,0,Centurion,SuperSport Park
8,South Africa,England,13.2,6,0,Centurion,SuperSport Park
8,South Africa,England,13.3,1,0,Centurion,SuperSport Park
8,South Africa,England,13.4,1,0,Centurion,SuperSport Park
8,South Africa,England,13.5,0,0,Centurion,SuperSport Park
8,South Africa,England,13.6,2,0,Centurion,SuperSport Park
8,South Africa,England,13.7,1,0,Centurion,SuperSport Park
8,South Africa,England,14.1,4,0,Centurion,SuperSport Park
8,South Africa,England,14.2,6,0,Centurion,SuperSport Park
8,South Africa,England,14.3,1,0,Centurion,SuperSport Park
8,South Africa,England,14.4,1,0,Centurion,SuperSport Park
8,South Africa,England,14.5,1,0,Centurion,SuperSport Park
8,South Africa,England,14.6,1,0,Centurion,SuperSport Park
8,South Africa,England,14.7,4,0,Centurion,SuperSport Park
8,South Africa,England,14.8,1,0,Centurion,SuperSport Park
8,South Africa,England,14.9,4,0,Centurion,SuperSport Park
8,South Africa,England,15.1,2,0,Centurion,SuperSport Park
8,South Africa,England,15.2,1,0,Centurion,SuperSport Park
8,South Africa,England,15.3,1,0,Centurion,SuperSport Park
8,South Africa,England,15.4,4,0,Centurion,SuperSport Park
8,South Africa,England,15.5,1,0,Centurion,SuperSport Park
8,South Africa,England,15.6,1,0,Centurion,SuperSport Park
8,South Africa,England,15.7,0,0,Centurion,SuperSport Park
8,South Africa,England,16.1,1,0,Centurion,SuperSport Park
8,South Africa,England,16.2,2,0,Centurion,SuperSport Park
8,South Africa,England,16.3,0,H Klaasen,Centurion,SuperSport Park
8,South Africa,England,16.4,1,0,Centurion,SuperSport Park
8,South Africa,England,16.5,0,0,Centurion,SuperSport Park
8,South Africa,England,16.6,1,0,Centurion,SuperSport Park
8,South Africa,England,17.1,4,0,Centurion,SuperSport Park
8,South Africa,England,17.2,1,0,Centurion,SuperSport Park
8,South Africa,England,17.3,0,0,Centurion,SuperSport Park
8,South Africa,England,17.4,1,0,Centurion,SuperSport Park
8,South Africa,England,17.5,4,0,Centurion,SuperSport Park
8,South Africa,England,17.6,6,0,Centurion,SuperSport Park
8,South Africa,England,17.7,0,0,Centurion,SuperSport Park
8,South Africa,England,18.1,1,0,Centurion,SuperSport Park
8,South Africa,England,18.2,1,0,Centurion,SuperSport Park
8,South Africa,England,18.3,1,0,Centurion,SuperSport Park
8,South Africa,England,18.4,4,0,Centurion,SuperSport Park
8,South Africa,England,18.5,0,D Pretorius,Centurion,SuperSport Park
8,South Africa,England,18.6,1,0,Centurion,SuperSport Park
8,South Africa,England,18.7,1,0,Centurion,SuperSport Park
8,South Africa,England,18.8,6,0,Centurion,SuperSport Park
8,South Africa,England,19.1,4,0,Centurion,SuperSport Park
8,South Africa,England,19.2,0,AL Phehlukwayo,Centurion,SuperSport Park
8,South Africa,England,19.3,0,0,Centurion,SuperSport Park
8,South Africa,England,19.4,4,0,Centurion,SuperSport Park
8,South Africa,England,19.5,0,0,Centurion,SuperSport Park
8,South Africa,England,19.6,4,0,Centurion,SuperSport Park
16,Australia,South Africa,0.1,1,0,Cape Town,Newlands
16,Australia,South Africa,0.2,1,0,Cape Town,Newlands
16,Australia,South Africa,0.3,4,0,Cape Town,Newlands
16,Australia,South Africa,0.4,2,0,Cape Town,Newlands
16,Australia,South Africa,0.5,0,0,Cape Town,Newlands
16,Australia,South Africa,0.6,1,0,Cape Town,Newlands
16,Australia,South Africa,0.7,0,0,Cape Town,Newlands
16,Australia,South Africa,1.1,3,0,Cape Town,Newlands
16,Australia,South Africa,1.2,1,0,Cape Town,Newlands
16,Australia,South Africa,1.3,0,0,Cape Town,Newlands
16,Australia,South Africa,1.4,1,0,Cape Town,Newlands
16,Australia,South Africa,1.5,1,0,Cape Town,Newlands
16,Australia,South Africa,1.6,0,0,Cape Town,Newlands
16,Australia,South Africa,2.1,1,0,Cape Town,Newlands
16,Australia,South Africa,2.2,4,0,Cape Town,Newlands
16,Australia,South Africa,2.3,6,0,Cape Town,Newlands
16,Australia,South Africa,2.4,1,0,Cape Town,Newlands
16,Australia,South Africa,2.5,4,0,Cape Town,Newlands
16,Australia,South Africa,2.6,1,0,Cape Town,Newlands
16,Australia,South Africa,3.1,1,0,Cape Town,Newlands
16,Australia,South Africa,3.2,4,0,Cape Town,Newlands
